"estacao";"data";"umidade.relativa.media";"velocidade.do.vento.media";"precipitacao";"estacaoano"
83767;2016-05-10;92.25;1;45.2;"Outono"
83767;2016-05-11;88.5;1;0;"Outono"
83767;2016-05-12;83.75;0.666667;0;"Outono"
83767;2016-05-13;76.5;1.333333;0;"Outono"
83767;2016-05-14;70.25;1.333333;12.4;"Outono"
83767;2016-05-15;69.25;2.333333;0;"Outono"
83767;2016-05-16;84.5;2;2.2;"Outono"
83767;2016-05-17;70.25;1;0;"Outono"
83767;2016-05-18;96.5;0.333333;7.5;"Outono"
83767;2016-05-19;89;1.666667;5.7;"Outono"
83767;2016-05-20;84.5;1;0;"Outono"
83767;2016-05-21;93.75;0.34296;12;"Outono"
83767;2016-05-22;96.75;1.333333;5;"Outono"
83767;2016-05-23;72;1.333333;9.3;"Outono"
83767;2016-05-24;68.5;2.333333;0;"Outono"
83767;2016-05-25;69.5;1.333333;0;"Outono"
83767;2016-05-26;75.25;2;0;"Outono"
83767;2016-05-27;87.5;0.333333;3.9;"Outono"
83767;2016-05-28;84.5;1.333333;0.1;"Outono"
83767;2016-05-29;92;1;37.6;"Outono"
83767;2016-05-30;98.75;1;12.2;"Outono"
83767;2016-05-31;98.5;1.333333;5.1;"Outono"
83767;2016-06-01;98;1.333333;4.5;"Outono"
83767;2016-06-02;81.75;0.666667;10.3;"Outono"
83767;2016-06-03;91.75;0.666667;0;"Outono"
83767;2016-06-04;96.25;1;0;"Outono"
83767;2016-06-05;99.75;0;25.4;"Outono"
83767;2016-06-06;95.5;0.666667;17;"Outono"
83767;2016-06-07;64.25;2.333333;19.8;"Outono"
83767;2016-06-08;52;3;0;"Outono"
83767;2016-06-09;56;1.333333;0;"Outono"
83767;2016-06-10;47.5;1.666667;0;"Outono"
83767;2016-06-11;44.75;1.333333;0;"Outono"
83767;2016-06-12;46;1;0;"Outono"
83767;2016-06-13;38.75;1;0;"Outono"
83767;2016-06-14;62.5;1.666667;0;"Outono"
83767;2016-06-15;63.75;1;0;"Outono"
83767;2016-06-16;69;0.666667;0;"Outono"
83767;2016-06-17;71;0.333333;0;"Outono"
83767;2016-06-18;81.25;1.666667;0;"Outono"
83767;2016-06-19;83.5;1;0;"Outono"
83767;2016-06-20;84.25;1;0;"Outono"
83767;2016-06-21;71.25;2.333333;0;"Inverno"
83767;2016-06-22;86;1.333333;0;"Inverno"
83767;2016-06-23;80.25;0.666667;1;"Inverno"
83767;2016-06-24;67.5;2;0;"Inverno"
83767;2016-06-25;54.5;2.333333;0;"Inverno"
83767;2016-06-26;66.75;1.666667;0;"Inverno"
83767;2016-06-27;63.75;1.333333;0;"Inverno"
83767;2016-06-28;60;1;0;"Inverno"
83767;2016-06-29;54.75;1;0;"Inverno"
83767;2016-06-30;59;1.333333;0;"Inverno"
83767;2016-07-01;58;1;0;"Inverno"
83767;2016-07-02;52.75;1.333333;0;"Inverno"
83767;2016-07-03;51;2;0;"Inverno"
83767;2016-07-04;53.25;2;0;"Inverno"
83767;2016-07-05;55.25;2;0;"Inverno"
83767;2016-07-06;87;2.333333;0;"Inverno"
83767;2016-07-07;72.25;1;4.7;"Inverno"
83767;2016-07-08;53;1;0;"Inverno"
83767;2016-07-09;44.5;1.666667;0;"Inverno"
83767;2016-07-10;48;0.666667;0;"Inverno"
83767;2016-07-11;51.25;1.333333;0;"Inverno"
83767;2016-07-12;63.75;1.333333;0;"Inverno"
83767;2016-07-13;58.75;2;1.5;"Inverno"
83767;2016-07-14;49.25;1.666667;0;"Inverno"
83767;2016-07-15;72;0.666667;0;"Inverno"
83767;2016-07-16;78;3.333333;58.5;"Inverno"
83767;2016-07-17;61.25;2;0.1;"Inverno"
83767;2016-07-18;58.75;0.666667;0;"Inverno"
83767;2016-07-19;63;0.333333;0;"Inverno"
83767;2016-07-20;58;1;0;"Inverno"
83767;2016-07-21;62.25;0.666667;0;"Inverno"
83767;2016-07-22;66.25;1.333333;0;"Inverno"
83767;2016-07-23;62.5;1.666667;0;"Inverno"
83767;2016-07-24;54.5;1;0;"Inverno"
83767;2016-07-25;48;2;0;"Inverno"
83767;2016-07-26;48.75;1.666667;0;"Inverno"
83767;2016-07-27;43;2;0;"Inverno"
83767;2016-07-28;60.75;0.666667;0;"Inverno"
83767;2016-07-29;59.5;0.666667;0;"Inverno"
83767;2016-07-30;54.5;1.666667;0;"Inverno"
83767;2016-07-31;53.75;1.666667;0;"Inverno"
83767;2016-08-01;53.5;0.333333;0;"Inverno"
83767;2016-08-02;51;1.333333;0;"Inverno"
83767;2016-08-03;62.5;1.333333;0;"Inverno"
83767;2016-08-04;56;0.666667;0;"Inverno"
83767;2016-08-05;49;1.666667;0;"Inverno"
83767;2016-08-06;43.5;0.666667;0;"Inverno"
83767;2016-08-07;62.5;1.666667;0;"Inverno"
83767;2016-08-08;76.75;1.333333;0;"Inverno"
83767;2016-08-09;77.75;1.333333;15.5;"Inverno"
83767;2016-08-10;56.75;1.333333;0;"Inverno"
83767;2016-08-11;48;1.333333;0;"Inverno"
83767;2016-08-12;51.5;1.666667;0;"Inverno"
83767;2016-08-13;51.25;1;0;"Inverno"
83767;2016-08-14;45;0.666667;0;"Inverno"
83767;2016-08-15;86.75;3.666667;1.9;"Inverno"
83767;2016-08-16;70.25;0.666667;19.4;"Inverno"
83767;2016-08-17;63.5;2;0;"Inverno"
83767;2016-08-18;87.75;6.666667;0;"Inverno"
83767;2016-08-19;82.75;7;34.8;"Inverno"
83767;2016-08-20;92;2;11.7;"Inverno"
83767;2016-08-21;68;8.666667;40.3;"Inverno"
83767;2016-08-22;57.75;1.333333;0;"Inverno"
83767;2016-08-23;60.5;1.666667;0;"Inverno"
83767;2016-08-24;61.75;2;0;"Inverno"
83767;2016-08-25;57;2.333333;0;"Inverno"
83767;2016-08-26;50;1.333333;0;"Inverno"
83767;2016-08-27;40.75;1.333333;0;"Inverno"
83767;2016-08-28;36;1.333333;0;"Inverno"
83767;2016-08-29;83.25;0.333333;0;"Inverno"
83767;2016-08-30;95.25;1;10.6;"Inverno"
83767;2016-08-31;79.25;0.666667;10.2;"Inverno"
83767;2016-09-01;54.75;1;0;"Inverno"
83767;2016-09-02;59;1;0;"Inverno"
83767;2016-09-03;88.25;1.333333;0;"Inverno"
83767;2016-09-04;89.25;0.333333;14.2;"Inverno"
83767;2016-09-05;94.25;1.02888;0;"Inverno"
83767;2016-09-06;79.75;2.666667;7.9;"Inverno"
83767;2016-09-07;56.25;1.666667;0;"Inverno"
83767;2016-09-08;65.75;1;0;"Inverno"
83767;2016-09-09;52;1;0;"Inverno"
83767;2016-09-10;53.5;1.333333;0;"Inverno"
83767;2016-09-11;54.25;1;0;"Inverno"
83767;2016-09-12;43.75;1.666667;0;"Inverno"
83767;2016-09-13;66.5;3.666667;0;"Inverno"
83767;2016-09-14;38.5;2.666667;4.3;"Inverno"
83767;2016-09-15;39;1.333333;0;"Inverno"
83767;2016-09-16;40.5;1.333333;0;"Inverno"
83767;2016-09-17;51.25;1;0;"Inverno"
83767;2016-09-18;56;1.666667;0;"Inverno"
83767;2016-09-19;93;6.333333;2.6;"Inverno"
83767;2016-09-20;50.25;1.333333;10.4;"Inverno"
83767;2016-09-21;48.75;3.333333;0;"Primavera"
83767;2016-09-22;50;2.333333;0;"Primavera"
83767;2016-09-23;50.75;1.333333;0;"Primavera"
83767;2016-09-24;48.25;2;0;"Primavera"
83767;2016-09-25;63.25;1.333333;0;"Primavera"
83767;2016-09-26;53.75;1;0;"Primavera"
83767;2016-09-27;47.5;1.333333;0;"Primavera"
83767;2016-09-28;38;1.666667;0;"Primavera"
83767;2016-09-29;41.5;0.666667;0;"Primavera"
83767;2016-09-30;50.25;2;0;"Primavera"
83767;2016-10-01;52;2;0;"Primavera"
83767;2016-10-02;50.25;1.666667;0;"Primavera"
83767;2016-10-03;91.5;1.333333;0.3;"Primavera"
83767;2016-10-04;77.5;1;8.1;"Primavera"
83767;2016-10-05;67;1.333333;0;"Primavera"
83767;2016-10-06;70.75;2;1.3;"Primavera"
83767;2016-10-07;55.75;1;0;"Primavera"
83767;2016-10-08;43;1.333333;0;"Primavera"
83767;2016-10-09;35.25;1;0;"Primavera"
83767;2016-10-10;49.25;2;0;"Primavera"
83767;2016-10-11;63.5;2;0;"Primavera"
83767;2016-10-12;66.25;3.666667;2;"Primavera"
83767;2016-10-13;94.25;1.333333;4.5;"Primavera"
83767;2016-10-14;85.25;1.666667;35.3;"Primavera"
83767;2016-10-15;71;1;0;"Primavera"
83767;2016-10-16;55.5;1;0;"Primavera"
83767;2016-10-17;51;1.333333;0;"Primavera"
83767;2016-10-18;58.25;1.333333;0;"Primavera"
83767;2016-10-19;50;2;0;"Primavera"
83767;2016-10-20;71;2;0;"Primavera"
83767;2016-10-21;80.75;0.666667;13.2;"Primavera"
83767;2016-10-22;62.5;2;0;"Primavera"
83767;2016-10-23;67.75;1;0;"Primavera"
83767;2016-10-24;70;2.333333;1;"Primavera"
83767;2016-10-25;83.75;1.666667;0;"Primavera"
83767;2016-10-26;96.25;1;48.9;"Primavera"
83767;2016-10-27;71.5;4.666667;24;"Primavera"
83767;2016-10-28;56;0.666667;0;"Primavera"
83767;2016-10-29;46.75;2.333333;0;"Primavera"
83767;2016-10-30;56;2.333333;0;"Primavera"
83767;2016-10-31;58;4;0;"Primavera"
83767;2016-11-01;56.5;2;0;"Primavera"
83767;2016-11-02;82.5;1.333333;0;"Primavera"
83767;2016-11-03;68.25;0.666667;17.8;"Primavera"
83767;2016-11-04;63;1.333333;0;"Primavera"
83767;2016-11-05;47.25;1;0;"Primavera"
83767;2016-11-06;57.75;1.666667;0;"Primavera"
83767;2016-11-07;55.75;1.333333;0;"Primavera"
83767;2016-11-08;57.5;1.333333;0.2;"Primavera"
83767;2016-11-09;55;1;0;"Primavera"
83767;2016-11-10;52;2;0;"Primavera"
83767;2016-11-11;73.5;2.666667;0;"Primavera"
83767;2016-11-12;74;2.333333;7.5;"Primavera"
83767;2016-11-13;76.25;2;0.8;"Primavera"
83767;2016-11-14;58.5;1.666667;0;"Primavera"
83767;2016-11-15;61.25;1;0;"Primavera"
83767;2016-11-16;60;3;0;"Primavera"
83767;2016-11-17;49.25;3;0;"Primavera"
83767;2016-11-18;43.5;3.333333;0;"Primavera"
83767;2016-11-19;44.25;1.333333;0;"Primavera"
83767;2016-11-20;44.25;0.666667;0;"Primavera"
83767;2016-11-21;36.75;1;0;"Primavera"
83767;2016-11-22;40.5;1.333333;0;"Primavera"
83767;2016-11-23;50.25;1.666667;0;"Primavera"
83767;2016-11-24;52.75;1.333333;0;"Primavera"
83767;2016-11-25;62.25;1.333333;0;"Primavera"
83767;2016-11-26;63.5;1;0.2;"Primavera"
83767;2016-11-27;67.25;2;2.3;"Primavera"
83767;2016-11-28;83.5;1.666667;0;"Primavera"
83767;2016-11-29;82;1;8.1;"Primavera"
83767;2016-11-30;66.25;2.333333;0;"Primavera"
83767;2016-12-01;63.75;1.666667;0;"Primavera"
83767;2016-12-02;69.75;1.666667;0;"Primavera"
83767;2016-12-03;86.5;2;5.1;"Primavera"
83767;2016-12-04;71.25;1.333333;15.4;"Primavera"
83767;2016-12-05;52;2;0;"Primavera"
83767;2016-12-06;65;2;0;"Primavera"
83767;2016-12-07;72.25;1.333333;2.4;"Primavera"
83767;2016-12-08;82.75;1.333333;0;"Primavera"
83767;2016-12-09;92.25;1;4.4;"Primavera"
83767;2016-12-10;96.5;0.666667;18.8;"Primavera"
83767;2016-12-11;93.5;0.666667;38.5;"Primavera"
83767;2016-12-12;76.5;1.333333;7.9;"Primavera"
83767;2016-12-13;67.75;1;0;"Primavera"
83767;2016-12-14;57.5;2.333333;0;"Primavera"
83767;2016-12-15;63.5;4;0;"Primavera"
83767;2016-12-16;63.5;3.666667;0;"Primavera"
83767;2016-12-17;60;1.666667;0;"Primavera"
83767;2016-12-18;75.75;3;0;"Primavera"
83767;2016-12-19;84.5;1.666667;74.8;"Primavera"
83767;2016-12-20;87;1.333333;6.2;"Primavera"
83767;2016-12-21;83.5;1.666667;5.4;"Verao"
83767;2016-12-22;74.75;1.666667;0;"Verao"
83767;2016-12-23;75.75;1;4.8;"Verao"
83767;2016-12-24;67.25;1;0.8;"Verao"
83767;2016-12-25;70.75;1;0;"Verao"
83767;2016-12-26;65;1;0;"Verao"
83767;2016-12-27;67.5;1;0;"Verao"
83767;2016-12-28;82.75;0.666667;0;"Verao"
83767;2016-12-29;67.75;1;23.2;"Verao"
83767;2016-12-30;83;0.666667;6.2;"Verao"
83767;2016-12-31;85.75;0.666667;1.4;"Verao"
83767;2017-01-01;84.5;1;22.6;"Verao"
83767;2017-01-02;76.5;0.333333;39.5;"Verao"
83767;2017-01-03;76.25;1;0;"Verao"
83767;2017-01-04;86.25;1;1.5;"Verao"
83767;2017-01-05;77.75;1;56.8;"Verao"
83767;2017-01-06;83;1;0;"Verao"
83767;2017-01-07;73.5;0.666667;0.3;"Verao"
83767;2017-01-08;70.25;1;0;"Verao"
83767;2017-01-09;80.25;1.666667;10.2;"Verao"
83767;2017-01-10;86.5;0.666667;84.3;"Verao"
83767;2017-01-11;82;1;8.6;"Verao"
83767;2017-01-12;76.25;2;1.8;"Verao"
83767;2017-01-13;67.5;1;13.9;"Verao"
83767;2017-01-14;70.5;0.666667;0;"Verao"
83767;2017-01-15;66.75;1;0;"Verao"
83767;2017-01-16;70.25;0.666667;0;"Verao"
83767;2017-01-17;91;2;0;"Verao"
83767;2017-01-18;77.75;1;55.2;"Verao"
83767;2017-01-19;79.75;1.666667;0;"Verao"
83767;2017-01-20;75;1.333333;0.7;"Verao"
83767;2017-01-21;77;1.333333;0;"Verao"
83767;2017-01-22;83;1;14.5;"Verao"
83767;2017-01-23;75;1.666667;0.4;"Verao"
83767;2017-01-24;75;0.666667;1.1;"Verao"
83767;2017-01-25;94.5;0.666667;3.5;"Verao"
83767;2017-01-26;79.75;0.666667;17.4;"Verao"
83767;2017-01-27;67.25;0.666667;0.9;"Verao"
83767;2017-01-28;77.5;1.333333;0;"Verao"
83767;2017-01-29;81.25;1.666667;5.3;"Verao"
83767;2017-01-30;78.5;1;0;"Verao"
83767;2017-01-31;76.5;1.333333;0.1;"Verao"
83767;2017-02-01;83.75;1.333333;7.4;"Verao"
83767;2017-02-02;82.5;1.666667;1.8;"Verao"
83767;2017-02-03;77.5;1;7.8;"Verao"
83767;2017-02-04;64.25;1.333333;0;"Verao"
83767;2017-02-05;69.5;1.333333;0;"Verao"
83767;2017-02-06;62.5;1;0;"Verao"
83767;2017-02-07;71.25;1.333333;0;"Verao"
83767;2017-02-08;74.5;2.333333;22.8;"Verao"
83767;2017-02-09;62.75;1.666667;17.2;"Verao"
83767;2017-02-10;64.75;2.333333;0;"Verao"
83767;2017-02-11;77.25;3.666667;0;"Verao"
83767;2017-02-12;83.25;1.666667;0.3;"Verao"
83767;2017-02-13;88.5;3.666667;24.9;"Verao"
83767;2017-02-14;89.25;0.666667;30.9;"Verao"
83767;2017-02-15;58.5;1;1.9;"Verao"
83767;2017-02-16;65;1.333333;0;"Verao"
83767;2017-02-17;61.5;1.333333;0.4;"Verao"
83767;2017-02-18;58.25;1;0;"Verao"
83767;2017-02-19;59.25;1;0;"Verao"
83767;2017-02-20;51.25;1.333333;0;"Verao"
83767;2017-02-21;54.75;1.666667;0;"Verao"
83767;2017-02-22;56;1.333333;0;"Verao"
83767;2017-02-23;75.5;1.333333;0.1;"Verao"
83767;2017-02-24;82.25;0.333333;19.3;"Verao"
83767;2017-02-25;82.5;1;1.4;"Verao"
83767;2017-02-26;74.5;0.666667;13.1;"Verao"
83767;2017-02-27;68.5;1.333333;0;"Verao"
83767;2017-02-28;66.75;1.333333;0;"Verao"
83767;2017-03-01;66;2;0;"Verao"
83767;2017-03-02;84;1.333333;21.1;"Verao"
83767;2017-03-03;81;1;2.1;"Verao"
83767;2017-03-04;84.25;0.666667;0;"Verao"
83767;2017-03-05;96.5;1;0;"Verao"
83767;2017-03-06;78.75;1;11.2;"Verao"
83767;2017-03-07;67.25;1;0;"Verao"
83767;2017-03-08;64.75;1;0;"Verao"
83767;2017-03-09;63.75;0.666667;0;"Verao"
83767;2017-03-10;82.25;0.333333;0;"Verao"
83767;2017-03-11;58.5;0.666667;0;"Verao"
83767;2017-03-12;77.75;2;0;"Verao"
83767;2017-03-13;68.75;1;63.2;"Verao"
83767;2017-03-14;65.25;1.333333;0;"Verao"
83767;2017-03-15;62.25;2;0;"Verao"
83767;2017-03-16;72.5;2;0;"Verao"
83767;2017-03-17;96.75;0.666667;29.2;"Verao"
83767;2017-03-18;84.25;1.333333;34.4;"Verao"
83767;2017-03-19;77.25;1;0;"Verao"
83767;2017-03-20;65.75;1.333333;0;"Verao"
83767;2017-03-21;59.25;1.666667;0;"Outono"
83767;2017-03-22;54.5;1;0;"Outono"
83767;2017-03-23;61.75;1;0;"Outono"
83767;2017-03-24;60.75;1;0;"Outono"
83767;2017-03-25;62.75;0.666667;0;"Outono"
83767;2017-03-26;69.75;2.666667;0;"Outono"
83767;2017-03-27;78.75;1.666667;0;"Outono"
83767;2017-03-28;65.25;1.333333;0;"Outono"
83767;2017-03-29;61.5;1.666667;0;"Outono"
83767;2017-03-30;57.75;1.666667;0;"Outono"
83767;2017-03-31;54.25;1.666667;0;"Outono"
83767;2017-04-01;54;2;0;"Outono"
83767;2017-04-02;56.5;1.333333;0;"Outono"
83767;2017-04-03;55.25;1.333333;0;"Outono"
83767;2017-04-04;57.25;2.333333;0;"Outono"
83767;2017-04-05;94.75;1.333333;11;"Outono"
83767;2017-04-06;86.75;1.666667;77;"Outono"
83767;2017-04-07;83.5;1.666667;1.6;"Outono"
83767;2017-04-08;81.75;1;0;"Outono"
83767;2017-04-09;71.5;2;0;"Outono"
83767;2017-04-10;70;1;0;"Outono"
83767;2017-04-11;81.75;1.666667;0.4;"Outono"
83767;2017-04-12;81;1.666667;0;"Outono"
83767;2017-04-13;66.75;1.666667;3.2;"Outono"
83767;2017-04-14;66;1;0;"Outono"
83767;2017-04-15;60.25;1.333333;0;"Outono"
83767;2017-04-16;96.5;1;2.2;"Outono"
83767;2017-04-17;83.5;1;10.6;"Outono"
83767;2017-04-18;69;1;0;"Outono"
83767;2017-04-19;64.75;1.666667;0;"Outono"
83767;2017-04-20;85.5;1;0;"Outono"
83767;2017-04-21;85;1;14.8;"Outono"
83767;2017-04-22;75.25;0.333333;1.2;"Outono"
83767;2017-04-23;71.75;1.666667;0;"Outono"
83767;2017-04-24;68.25;1.333333;0;"Outono"
83767;2017-04-25;72.75;1.666667;0;"Outono"
83767;2017-04-26;95.25;1;32.7;"Outono"
83767;2017-04-27;63;2.333333;4.5;"Outono"
83767;2017-04-28;57.5;1.333333;0;"Outono"
83767;2017-04-29;65.75;1.666667;0;"Outono"
83767;2017-04-30;69.5;2;0;"Outono"
83767;2017-05-01;82.75;2;0;"Outono"
83767;2017-05-02;72;1.666667;18;"Outono"
83767;2017-05-03;64;1.333333;0;"Outono"
83767;2017-05-04;97.75;1;31.9;"Outono"
83767;2017-05-05;91.5;1;26.6;"Outono"
83767;2017-05-06;75.75;1;1;"Outono"
83767;2017-05-07;76;1.666667;0;"Outono"
